idx	weapon	skin	keychain	scope	background

1.png	hunting_rifle  None None      dot       blue      
748.png	mp5            1    None      acog      blue      
749.png	mp5            4    None      holo      green     
750.png	spaz           None disco     dot       green     
751.png	db             None None      dot       green     
752.png	tar            None leaf      None      green     
753.png	revolver       2    None      holo      purple    
754.png	p90            4    None      None      blue      
755.png	spaz           1    disco     dot       blue      
756.png	db             3    disco     acog      blue      
757.png	p90            2    leaf      None      purple    
758.png	spaz           7    None      None      purple    
759.png	l96            5    disco     acog      green     
760.png	l96            None None      holo      blue      
761.png	db             None None      None      green     
762.png	spaz           None pinata    thermal   red       
763.png	l96            2    medal     None      blue      
764.png	revolver       5    None      holo      green     
765.png	deagle         1    dice      dot       green     
